item name中文,model name中文,price,image url,product link,二级类目,三级类目,四级类目,邀请码,model id,final_1688_link,price judge,销售优先级,itemid,最大价格,销售优先级,该款式有sku数,是否有高价品加投资源,是否为重抛货,是否重点招募
马来西亚国旗纸扇花环，用于国庆日和马来西亚日装饰庆祝活动,马来西亚国旗纸扇花环，用于国庆日和马来西亚日装饰庆祝活动,5.98,https://cf.shopee.com.my/file/my-11134207-7rasj-mbdmgsuyufhy1a,http://shopee.com.my/product/463752524/43855835428,派对用品,背景幕布和横幅,,IVCN202608204385,2.9549E+11,https://detail.1688.com/offer/695727384846.html?kj_agent_plugin=aliprice&fromkv=xytTrace%3A0bf8ca8917573892286827190e0cfe&token=wew97HJRtKjwgs8Gs6cEGL8nxxJLFTbC4WSNl%2BN8%2FGLD5HWJzDUywilxhUeGcQsa&tracelog=cps&clickid=033d98ab8b9c531821916d2ce33a460a&targetUrl=https%3A%2F%2Fs.click.1688.com%2Ft%3Fe%3DA6FEAF87A2FCFBDD05C1BD6ABB449CE46147FC88EA630CBAC31FEFBD3966EDE4DF88C915D5486E33D1003E749B3EAAA5861098A75E16F4D226600F2847DABD1A5F0FFA4FF39BCCC320D4625E68D0D47AF6FEC9241CC79F982F2298161E9E1CDC31BEBF93134A5E855DF96BD0C7F1EAED718DB49D43B6DF26CC6F5316BEA5D89D7EEF6D6099BA67CE089F770C23C101B7394FDACE1ACDBE212CB26CBE8CD558EBF0FA912096D37EFC4F3FA3C00BB79243ECE7664936B5B2D0A3C0473E131E4F91A1B5DAFABAED14D21ED0743230FD846B32EEAE7D5C797768668628F733AF3218068B5B3B481BD877%26cbu_cps_trace_flag%3Dwrite,P0,高销售优先级,43855835428,5.98,高销售优先级,1,否,否,是
200000W 买一送二 太阳能户外防水灯 花园灯 自动照明带遥控器,🔥100000W 超亮,68.64,https://cf.shopee.com.my/file/my-11134207-820l5-mqshwroi9amlae,http://shopee.com.my/product/860224769/50056463617,灯光,太阳能灯,太阳能灯配件,IVCN202608204523,3.10582E+11,https://detail.1688.com/offer/997886897517.html?kj_agent_plugin=aliprice&fromkv=xytTrace:2154647417847901791273853e0fc3&token=%2Fy3Dt3AXUTuDjkZmV4A1z%2B5SOHn7yOnMUW8NQbQUgmrVsNK5ebA0zkRo8aXOT4xQ,P1,中高销售优先级,50056463617,68.64,高销售优先级,3,是,否,是
现代简约LED吸顶灯，超薄圆形面板，30厘米 x 40厘米，3500K，洁净,CD251191/400D,91.38,https://cf.shopee.com.br/file/br-11134207-820m5-mn3708cz15a9e7,http://shopee.com.br/product/1643586969/58258903528,灯光,室内固定照明-天花板灯,吊灯/吸顶灯/面板灯/风扇灯,IVCN202608205737,1.69415E+11,https://detail.1688.com/offer/951075960625.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i4&source=action%23offerItem%3Borigin%23shopee.com.br&amug_biz=oneself&amug_fl_src=awakeId_982,P1,高销售优先级,58258903528,91.38,高销售优先级,1,是,否,是
飞利浦“面包形”LED吸顶灯，高色温，无频闪，完全密封，驱蚊驱虫，白光/暖光，平面。,白光,38.84,https://cf.shopee.co.th/file/th-11134207-81zti-metgjp9sehhg5c,http://shopee.co.th/product/1612128264/42869895172,灯光,室内固定照明-天花板灯,吊灯/吸顶灯/面板灯/风扇灯,IVCN202608203719,3.06705E+11,https://detail.1688.com/offer/965925141204.html?kj_agent_plugin=aliprice&fromkv=xytTrace:2127a84b17719307158242201e10dd&token=c2sXgiIzcVq%2BmOoczab6w5mtEqV8FLMRHQxbTeYl3D%2FCUMUANVR2I9JGv%2FoiXk7S,P0,中高销售优先级,42869895172,38.84,高销售优先级,1,是,否,是
21块圆形50x50厘米升华印花布料套装 - 选择您的主题,21块圆形50x50厘米升华印花布料套装 - 选择您的主题,73.14,https://cf.shopee.com.br/file/br-11134207-820ls-mpl2edux3ta949,http://shopee.com.br/product/961935449/18399794000,派对用品,背景幕布和横幅,,IVCN202608203663,2.39422E+11,#N/A,P2,高销售优先级,18399794000,73.14,高销售优先级,1,是,否,是
LGL 50W 光合作用灯，带透镜接口,LGL 50W 光合作用灯，带透镜接口,78.95,https://cf.shopee.vn/file/vn-11134207-7r98o-ltby38dxc6h0ae,http://shopee.vn/product/74473842/24520980333,灯光,功能灯,功能灯,IVCN202608205817,1.78124E+11,https://detail.1688.com/offer/657082884677.html?kj_agent_plugin=aliprice&fromkv=xytTrace%3A0b0fdc4f17601699453654464e0e13&token=LIKbY%2B3BY0a44uTbJ%2BGtTTzOhHaimFjl5ygQ2n1XbILTTNyjPA00XSvqaE93AMhA&tracelog=cps&clickid=735886cc7229cee63ff456302762e6bd&targetUrl=https%3A%2F%2Fs.click.1688.com%2Ft%3Fe%3DA6FEAF87A2FCFBDD05C1BD6ABB449CE46147FC88EA630CBAC31FEFBD3966EDE4DF88C915D5486E33D1003E749B3EAAA5861098A75E16F4D226600F2847DABD1A5F0FFA4FF39BCCC320D4625E68D0D47AF6FEC9241CC79F982F2298161E9E1CDC11B7A0CA0609BE832182FD872EB95E6BF0B713E0564B9A2A9E0B5B81DF1AE6817EEF6D6099BA67CE089F770C23C101B70F49AAAA65A05425A540A3E71D3306CEDB5C191177BE6B44A397BE813CAD6B392D55DCC9014064C0EF68AD0152543B24E8F35BD4556B0562AC2E94AF583E193FE63EB85B94AC6B7737E102A1519F7D285F35C8D018B16C7C%26cbu_cps_trace_flag%3Dwrite,P1,高销售优先级,24520980333,78.95,高销售优先级,1,是,否,是
LED吸顶灯，三色可调，带遥控器，适用于客厅、卧室等现代家居照明,"N-Gold-三色🔥,🔥遥控器",126.63,https://cf.shopee.ph/file/ph-11134207-820la-mri918npytq9a9,http://shopee.ph/product/566692146/28525808073,灯光,室内固定照明-天花板灯,吊灯/吸顶灯/面板灯/风扇灯,IVCN202608203569,2.80728E+11,https://detail.1688.com/offer/906209506914.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,P1,高销售优先级,28525808073,126.63,高销售优先级,2,是,是,是
HyperWork Nova DL02 电脑台灯 | LED 灯，防止近视，自然光保护您的眼睛。,HyperWork Nova DL02 电脑台灯 | LED 灯，防止近视，自然光保护您的眼睛。,62.45,https://cf.shopee.vn/file/vn-11134207-820l4-mhlemxm9yo765d,http://shopee.vn/product/99405239/44161435613,灯光,室内移动照明,台灯/落地灯/夹子灯/学习灯/小夜灯,IVCN202608208239,2.58704E+11,https://detail.1688.com/offer/713145936214.html?kj_agent_plugin=aliprice&fromkv=xytTrace:2127a84b17733077222977896e0dc5&token=Uyj4hT74nTWOtrLb7WCHeOVqczoSX%2BmmGZ4MLIP5GNwjee9TYHH4ZO1RMRy7zgBQ,P0,高销售优先级,44161435613,62.45,高销售优先级,1,是,否,是
婚礼生日PVC方形拼接拱门照片墙派对装饰支撑柱布局道具,PVC管拱,12,https://cf.shopee.ph/file/ph-11134207-7r98z-lufrtv23ymr67a,http://shopee.ph/product/102369076/25576005198,派对用品,其他的,,IVCN202608207417,2.45695E+11,https://detail.1688.com/offer/685736860484.html?spm=a26352.b28411319.offerlist.5.45f31e62EIzhdZ,P0,中高销售优先级,25576005198,12,高销售优先级,1,否,否,是
MODI 太阳能吸顶灯 200W 280W 400W，3 种照明模式，5 米电缆，太阳能 LED 灯。,400-R，5米电缆。,179,https://cf.shopee.co.th/file/th-11134207-7rash-m27ydju1ow69be,http://shopee.co.th/product/60805513/29966603071,灯光,室内固定照明-天花板灯,吊灯/吸顶灯/面板灯/风扇灯,IVCN202608206099,2.51957E+11,https://detail.1688.com/offer/711781923862.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i1&source=action%23offerItem%3Borigin%23cf.shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,P1,高销售优先级,29966603071,179,高销售优先级,2,是,否,是
CALIZ 高级装饰灯 – 带调光器，可调节亮度 – 高脚架款,橙色 - 白色,47.97,https://cf.shopee.vn/file/vn-11134207-820l4-mgrhswbzck5m82,http://shopee.vn/product/1521360401/40872982985,灯光,室内移动照明,台灯/落地灯/夹子灯/学习灯/小夜灯,IVCN202608208349,4.00086E+11,https://detail.1688.com/offer/746847119834.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i4&source=action%23offerItem%3Borigin%23cf.shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,P1,高销售优先级,40872982985,47.97,高销售优先级,1,是,否,是
为您的企业/店铺定制双面风向标，2.8米，全套配件。可印上您的品牌标识。,为您的企业/店铺定制双面风向标，2.8米，全套配件。可印上您的品牌标识。,124.37,https://cf.shopee.com.br/file/br-11134207-7r98o-lqm9w31b7f2be7,http://shopee.com.br/product/1153017428/19899186160,派对用品,背景幕布和横幅,,IVCN202608203639,2.28763E+11,#N/A,P2,高销售优先级,19899186160,124.37,高销售优先级,1,是,否,是
EVE（2个装）A60 LED灯泡，带遥控器，16种颜色变化选项，可调光，9W，E27灯座。,EVE（2个装）A60 LED灯泡，带遥控器，16种颜色变化选项，可调光，9W，E27灯座。,11.87,https://cf.shopee.co.th/file/th-11134207-81ztm-mkm8c0envqpwb8,http://shopee.co.th/product/43533927/25693145745,灯光,灯泡/灯管,灯泡/灯管,IVCN202608205055,2.42997E+11,https://detail.1688.com/offer/640595341868.html?kj_agent_plugin=aliprice&fromkv=xytTrace%3A0bbb04ba17503149451462827e1529&token=sGul%2FxTvLT3%2BTYaSgpzB4i%2B%2BC2O%2BNK44936XY1A%2BaHu9P%2FEWVmHGiRo5%2BBhEUrrn&tracelog=cps&clickid=0100bc54a7b8e4b3c40dc1c80d249a78&targetUrl=https%3A%2F%2Fs.click.1688.com%2Ft%3Fe%3DA6FEAF87A2FCFBDD05C1BD6ABB449CE46147FC88EA630CBAC31FEFBD3966EDE4DF88C915D5486E33D1003E749B3EAAA5861098A75E16F4D226600F2847DABD1A5F0FFA4FF39BCCC320D4625E68D0D47AF6FEC9241CC79F982F2298161E9E1CDC864B605C8ED6B3890C37543C5BF23013D9A0C5E00D7BC8A288D300A73C9DD4337EEF6D6099BA67CE2BA95CC4F9A8AC07E8D83F100F9581E5C58597D4372FA5B8505E6F684EC9ECF815FC5E1E38406F48C11B8DDC43CBA2E9E615F55134F9A51DADC9289D8C0CDA504E56917ADB7679192BB03717A944CC6A,P0,高销售优先级,25693145745,11.87,高销售优先级,1,是,否,是
（12 个小盒一包出售）生日蜡烛，旋转式生日蜡烛。,（12 个小盒一包出售）生日蜡烛，旋转式生日蜡烛。,5.76,https://cf.shopee.co.th/file/sg-11134201-7ra2c-m4u8f5qzefsbd6,http://shopee.co.th/product/97816226/29823195871,派对用品,其他的,,没发邀请码,2.47445E+11,https://detail.1688.com/offer/1248943295.html?spm=a26352.13672862.offerlist.57.23c61e622ZkZAD&cosite=-&tracelog=p4p&_p_isad=1&clickid=aae771af3aab44b19ddeb5f77d5369aa&sessionid=75bfabc01d4f3add77474a7e789bd9be,P1,中高销售优先级,29823195871,5.76,高销售优先级,1,否,否,是
10 个方形表面安装式 LED 吸顶面板套装，24W，Play Blumenau 照明，6500K、4000K 或 3000K，双电压。,冷白光 - 6500K,160.89,https://cf.shopee.com.br/file/br-11134207-7r98o-m5s135jm5jlxeb,http://shopee.com.br/product/1341700123/58255373466,灯光,室内固定照明-天花板灯,吊灯/吸顶灯/面板灯/风扇灯,IVCN202608206585,2.09186E+11,https://detail.1688.com/offer/720888318456.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i10&source=action%23offerItem%3Borigin%23shopee.com.br&amug_biz=oneself&amug_fl_src=awakeId_982,P0,高销售优先级,58255373466,160.89,高销售优先级,1,是,否,是
飞利浦 LED Meson 筒灯 13W，型号 125 59464，5 英寸（5”），3000K、4000K、6500K，嵌入式吸顶灯。,6500K 白色 Gen4,2.61,https://cf.shopee.co.th/file/th-11134207-7r98x-lr7it04j8rqm97,http://shopee.co.th/product/16039209/3632404295,灯光,室内固定照明-其他,筒灯/射灯/镶嵌灯/轨道灯/壁灯/镜前灯/橱窗灯,没发邀请码,1.18292E+11,https://detail.1688.com/offer/626679129604.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i7&source=action%23offerItem%3Borigin%23shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,P1,中销售优先级,3632404295,2.61,高销售优先级,1,否,否,是
15款迷你影院套装：Art Milly出品的1升水桶+400毫升透明扭扭杯,半透明婴儿蓝,30.68,https://cf.shopee.com.br/file/br-11134207-7r98o-lvyl574rozv6e7,http://shopee.com.br/product/276535364/22593076501,派对用品,其他的,,IVCN202608208889,1.29645E+11,https://detail.1688.com/offer/830021662048.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,P1,高销售优先级,22593076501,30.68,高销售优先级,1,否,否,是
客厅用COB轨道灯 LED射灯 轨道天花板照明 舞台灯 厨房灯,黑色【4件套】，12W三色,12.86,https://cf.shopee.ph/file/ph-11134207-7r98v-lt0ec2cmd4xwde,http://shopee.ph/product/484406104/17600306644,灯光,室内固定照明-其他,筒灯/射灯/镶嵌灯/轨道灯/壁灯/镜前灯/橱窗灯,IVCN202608203955,1.24147E+11,https://detail.1688.com/offer/652319201021.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i5&source=action%23offerItem%3Borigin%23cf.shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,P1,中高销售优先级,17600306644,12.86,高销售优先级,1,是,是,是
5至30米LED霓虹灯软管套装，暖白光/冷白光，3500K/6500K，110V/220V,220伏暖白光，30米,141.2,https://cf.shopee.com.br/file/br-11134207-7r98o-mc1bg5ixra1z37,http://shopee.com.br/product/1182328760/22798712279,灯光,装饰圆形灯,灯串/灯带/窗帘灯/装饰灯/舞台,IVCN202608203739,2.39425E+11,https://detail.1688.com/offer/905440215096.html?kj_agent_plugin=aliprice&fromkv=xytTrace:212b9de517647505668214340e16a9&token=6eQw6S3kCz0IDSQarUdZ3TLa1EZEfRS7R7oBCsRXQOzmAiKTKCSlamiq63LvqFDs,P1,高销售优先级,22798712279,141.2,高销售优先级,5,是,否,是
可充电USB蘑菇形台灯,陶土,75.18,https://cf.shopee.com.br/file/br-11134207-81z1k-mfocde4o7cp162,http://shopee.com.br/product/479274697/22198431165,灯光,室内移动照明,台灯/落地灯/夹子灯/学习灯/小夜灯,IVCN202608206859,1.3965E+11,https://detail.1688.com/offer/775407615495.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i42&source=action%23offerItem%3Borigin%23cf.shopee.com.br&amug_biz=oneself&amug_fl_src=awakeId_982,P0,高销售优先级,22198431165,75.18,高销售优先级,1,是,否,是
【100个装】MASACOS 12英寸 3.2克 高级加厚乳胶气球 复古粉彩派对装,100件随机混合装,9.48,https://cf.shopee.com.my/file/my-11134207-820lg-mr2fyal2ihon6a,http://shopee.com.my/product/10867546/17693993180,派对用品,气球,,IVCN202608205083,1.84356E+11,https://detail.1688.com/offer/656708758407.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,P0,中高销售优先级,17693993180,9.48,高销售优先级,4,否,否,是
迷你影院套装：20 个 1.5 升装饮料桶 + 20 个 400 毫升扭扭杯 - 立即发货,红色的,58.7,https://cf.shopee.com.br/file/sg-11134201-7rdwf-ly5aa4guh1rg71,http://shopee.com.br/product/353101225/18899715580,派对用品,其他的,,IVCN202608205397,1.99607E+11,https://detail.1688.com/offer/703407486974.html?kj_agent_plugin=aliprice&fromkv=xytTrace:2108837b17539593817978463e1043&token=a7rv0VTQ5DZobHVx%2FNk3uMNYWKx8FVya1llLV0RrgxkqQZCxA00I06xAb%2BGPK%2FXA,P1,高销售优先级,18899715580,58.7,高销售优先级,7,是,否,是
Fit Slim Linear 壁灯 60cm 间接照明 集成 LED,金色 - 3000K 暖光,47.51,https://cf.shopee.com.br/file/br-11134207-820lv-mm3d958uahaf44,http://shopee.com.br/product/1238137674/23098377901,灯光,室内固定照明-其他,筒灯/射灯/镶嵌灯/轨道灯/壁灯/镜前灯/橱窗灯,IVCN202608208267,1.19868E+11,https://detail.1688.com/offer/1009180099661.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0bf89a7417840980857224034e0c76&token=Gf8AiiQBxtd0w1xFCVWYynu4HRkIaokjcp%2FQ%2FQAYLz103uOf1fl1avyStaeaByT9,P0,高销售优先级,23098377901,47.51,高销售优先级,1,是,否,是
智能电动紫外线浴室消毒器 - 防水灯带香薰片清洁器,Lamp-8 香薰片,25.82,https://cf.shopee.com.br/file/sg-11134201-81zu7-mn13c9q5gcg449,http://shopee.com.br/product/1262473212/52958773478,灯光,装饰圆形灯,灯串/灯带/窗帘灯/装饰灯/舞台,IVCN202608203929,2.67536E+11,https://detail.1688.com/offer/693006666322.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i1&source=action%23offerItem%3Borigin%23shopee.com.br&amug_biz=oneself&amug_fl_src=awakeId_982,P0,高销售优先级,52958773478,25.82,高销售优先级,3,是,否,是
【现货】LED发光眼镜 LED眼镜 未来感十足的霓虹派对LED发光遮阳镜眼镜,调整颜色变化,6.74,https://cf.shopee.com.my/file/8b3b43098af2610c4eafd729aeb138c4,http://shopee.com.my/product/431464169/22538067073,派对用品,派对帽和面具,,IVCN202608205595,2.2145E+11,https://detail.1688.com/offer/756351214876.html?spm=a26352.b28411319.offerlist.52.63231e62lERRYV,P0,高销售优先级,22538067073,6.74,高销售优先级,1,否,否,是
9W LED 针形吸顶灯 LED 三色圆形铝制嵌入式 LED 筒灯面板灯射灯,白色+金色（9W），20个,143.7,https://cf.shopee.ph/file/ph-11134207-7ra0o-mdczwfv43u4g6f,http://shopee.ph/product/1433533062/44362569763,灯光,室内固定照明-其他,筒灯/射灯/镶嵌灯/轨道灯/壁灯/镜前灯/橱窗灯,IVCN202608204835,2.38E+11,https://detail.1688.com/offer/743813287833.html?spm=a26352.b28411319/2508.0.0&cosite=-&tracelog=p4p&_p_isad=1&clickid=d62b90c06e494772b3c78c4487ea4fad&sessionid=705793f21ef4ee650ac8f447d76b7d62,P1,高销售优先级,44362569763,143.7,高销售优先级,3,是,是,是
迷你影院套装：20 个 1.5 升装饮料桶 + 20 个 400 毫升扭扭杯 - 立即发货,品种,57.68,https://cf.shopee.com.br/file/br-11134207-7r98o-lwiq24lm8eiebf,http://shopee.com.br/product/353101225/18899715580,派对用品,其他的,,IVCN202608205397,1.99607E+11,https://detail.1688.com/offer/703407486974.html?kj_agent_plugin=aliprice&fromkv=xytTrace:2108837b17539593817978463e1043&token=a7rv0VTQ5DZobHVx%2FNk3uMNYWKx8FVya1llLV0RrgxkqQZCxA00I06xAb%2BGPK%2FXA,P1,高销售优先级,18899715580,57.68,高销售优先级,7,是,否,是
10个、20个、30个和50个装透明泡泡气球套装，带水晶灯，适用于派对和活动，24英寸（60厘米）,包含20个LED气球的套装,53.02,https://cf.shopee.com.br/file/br-11134207-7r98o-m60cx9v9yoqac8,http://shopee.com.br/product/258322024/22098209889,派对用品,气球,,IVCN202608204375,1.39649E+11,https://detail.1688.com/offer/721522783981.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,P1,高销售优先级,22098209889,53.02,高销售优先级,4,是,否,是
